ZIPCODE,DRUGCODE,Q1,Q2,Q3,Q4
995,1100B,423.99,466.58,459.16,654.32
996,1100B,128.40,107.05,98.39,151.37
997,1100B,118.30,111.64,90.31,115.87
998,1100B,31.54,33.90,32.98,51.89
999,1100B,9.82,10.70,7.18,16.60
995,1100D,1487.33,1447.12,1387.69,1608.03
996,1100D,315.00,245.06,243.34,341.63
997,1100D,292.35,283.31,242.49,290.57
998,1100D,65.62,60.80,47.38,90.44
999,1100D,22.30,28.38,12.86,28.61
995,1105D,16.00,17.20,14.00,14.40
996,1105D,2.00,2.40,0.80,0.40
997,1105D,1.60,1.60,0.80,1.20
995,1724,3054.83,2992.26,2677.60,3432.77
996,1724,847.99,704.90,718.86,1101.36
997,1724,938.58,852.96,796.11,1063.48
998,1724,220.04,172.45,166.39,223.44
999,1724,239.19,206.60,155.37,234.10
995,2125,0.00,0.00,0.00,4.55
996,2125,4.55,0.00,0.00,0.00
995,2165,1045.00,1025.00,1220.00,1195.00
996,2165,310.00,345.00,325.00,340.00
997,2165,175.00,170.00,135.00,150.00
998,2165,85.00,140.00,95.00,185.00
999,2165,30.00,50.00,25.00,35.00
995,2270,1949.42,2856.07,1594.93,1792.77
996,2270,904.38,1672.85,2439.71,1712.56
997,2270,1687.50,1328.65,1505.80,1948.73
998,2270,0.00,0.00,0.00,177.15
999,2270,2.27,0.00,0.00,0.00
995,2315,118.98,45.75,27.45,4.57
996,2315,22.87,27.45,0.00,0.00
997,2315,137.29,45.76,9.15,0.00
998,2315,9.15,0.00,0.00,0.00
999,2315,0.00,9.15,0.00,0.00
995,9041L,24.71,8.99,11.88,4.64
996,9041L,0.14,7.34,7.49,11.02
997,9041L,23.86,2.38,1.13,24.57
998,9041L,0.00,5.58,0.14,0.14
999,9041L,0.14,0.28,0.98,0.00
995,9050,6005.68,6060.05,5960.79,5192.74
996,9050,1638.62,1721.54,1883.09,1808.68
997,9050,2512.99,2651.66,2260.84,2474.05
998,9050,1342.74,1773.54,1408.28,1206.99
999,9050,739.77,683.45,535.34,631.64
995,9120,2.12,2.63,0.00,2.12
996,9120,0.00,0.00,1.06,0.00
997,9120,1.06,1.06,1.06,1.06
995,9143,17000.44,18034.45,18475.66,20487.62
996,9143,5703.04,4991.94,5106.31,5798.50
997,9143,1855.86,1846.72,1879.28,2248.44
998,9143,1507.19,1288.57,1287.33,1351.18
999,9143,361.69,335.79,338.12,402.03
995,9150,218.65,252.00,240.85,416.83
996,9150,40.66,37.68,25.64,34.13
997,9150,22.18,21.91,15.62,20.00
998,9150,0.00,2.87,4.20,9.95
999,9150,0.70,1.22,1.45,0.35
995,9193,4622.20,4480.66,4674.72,4961.77
996,9193,1773.64,1945.01,2117.50,2151.99
997,9193,668.60,707.92,710.98,768.94
998,9193,394.42,416.69,415.14,479.72
999,9193,240.90,241.90,220.22,220.85
995,9220L,1.14,1.87,0.80,1.39
996,9220L,0.34,0.00,0.00,0.00
995,9230,4525.65,4517.89,4111.61,4583.05
996,9230,1707.96,1318.83,1348.78,1526.41
997,9230,1116.00,972.75,1046.73,1022.40
998,9230,264.88,370.11,210.52,302.61
999,9230,44.90,80.79,59.47,93.65
995,9250B,2073.08,3129.18,2102.41,2359.74
996,9250B,462.38,431.62,436.55,653.65
997,9250B,251.48,324.46,257.54,269.25
998,9250B,84.19,125.64,123.12,120.88
999,9250B,39.90,53.71,40.86,51.11
995,9300,3773.85,4573.85,3906.09,4784.03
996,9300,1157.48,1359.12,1027.40,1451.48
997,9300,518.14,492.72,468.80,587.21
998,9300,78.78,113.83,169.90,455.47
999,9300,114.73,140.93,161.36,239.60
995,9639,36.00,35.28,28.80,42.48
996,9639,0.00,0.00,0.00,0.72
997,9639,2.88,2.16,2.16,5.04
998,9639,0.00,0.00,2.88,0.72
999,9639,0.72,0.00,0.00,0.00
995,9652,0.76,0.34,0.00,0.00
996,9652,0.08,0.00,0.00,0.00
997,9652,0.07,0.00,0.00,0.00
995,9655,0.00,0.18,0.00,0.00
998,9655,0.00,0.18,0.00,0.00
995,9737,0.26,0.23,0.00,0.06
997,9737,0.02,0.00,0.02,0.01
998,9737,0.29,0.00,0.00,0.00
999,9737,0.00,0.02,0.08,0.00
995,9739,1.05,0.91,0.67,0.70
996,9739,0.19,0.18,0.21,0.16
998,9739,0.00,0.00,0.00,0.00
999,9739,0.00,0.00,0.00,0.00
995,9740,0.00,0.00,0.00,0.00
996,9740,0.00,0.00,0.00,0.00
997,9740,0.00,0.00,0.00,0.00
998,9740,0.00,0.00,0.00,0.00
999,9740,0.00,0.00,0.00,0.00
995,9801,80.44,101.74,91.48,96.66
996,9801,31.43,32.22,36.63,46.11
997,9801,19.71,15.21,14.49,16.11
998,9801,4.94,4.57,5.36,5.34
999,9801,2.23,3.37,3.12,2.10
350,1100B,844.66,780.67,804.74,1087.59
351,1100B,576.79,517.99,525.25,746.22
352,1100B,1949.79,1988.36,1859.39,2437.23
354,1100B,581.04,537.13,544.46,678.49
355,1100B,208.08,188.27,188.96,251.16
356,1100B,614.92,547.64,537.89,777.56
357,1100B,269.47,238.89,204.71,272.95
358,1100B,427.41,422.36,345.74,435.17
359,1100B,391.20,337.24,371.25,482.22
360,1100B,314.23,236.78,233.75,363.50
361,1100B,465.18,420.19,391.61,597.37
362,1100B,227.80,179.39,198.48,263.73
363,1100B,270.10,251.16,240.96,414.35
364,1100B,115.52,114.45,104.68,154.43
365,1100B,630.15,571.28,578.34,864.42
366,1100B,768.63,614.06,729.73,967.69
367,1100B,98.15,81.21,80.79,124.62
368,1100B,453.24,415.10,426.56,525.44
369,1100B,17.80,16.61,12.09,26.59
350,1100D,1396.38,1289.72,1289.06,1570.00
351,1100D,875.66,771.52,750.09,1008.61
352,1100D,3170.91,3064.42,2937.34,3609.55
354,1100D,1052.43,944.90,968.89,1050.22
355,1100D,358.06,310.00,302.35,357.18
356,1100D,871.89,752.02,731.64,1008.16
357,1100D,379.29,357.81,297.14,381.75
358,1100D,600.12,592.00,483.45,561.13
359,1100D,623.05,590.21,594.69,755.71
360,1100D,517.41,396.84,383.09,557.68
361,1100D,878.11,805.58,723.03,995.16
362,1100D,321.23,245.90,250.37,340.94
363,1100D,441.19,436.27,384.79,563.38
364,1100D,163.85,156.18,134.86,202.73
365,1100D,839.51,750.72,740.05,1058.22
366,1100D,1024.66,778.19,920.17,1158.84
367,1100D,156.66,123.67,124.76,167.48
368,1100D,636.04,604.41,596.41,716.69
369,1100D,26.31,28.22,16.80,33.21
350,1105D,1.20,0.00,0.00,0.00
351,1105D,3.20,5.60,5.20,1.60
352,1105D,13.20,7.20,12.80,6.80
354,1105D,6.00,10.80,3.60,8.40
355,1105D,0.00,0.00,1.60,2.00
356,1105D,2.00,2.00,0.40,1.60
357,1105D,1.60,2.00,0.80,0.40
358,1105D,2.80,2.00,2.40,2.00
359,1105D,6.80,0.40,5.60,10.81
361,1105D,0.40,2.40,1.60,0.80
362,1105D,4.80,0.00,2.80,0.00
365,1105D,0.00,0.00,0.80,0.00
366,1105D,10.40,8.80,4.40,6.80
367,1105D,2.00,2.00,0.80,2.40
350,1724,3804.88,3412.80,3764.99,4285.70
351,1724,2165.05,2002.29,2238.54,2743.29
352,1724,8681.77,9232.19,8194.83,11660.93
354,1724,2247.73,1750.32,1958.44,2174.38
355,1724,1078.61,985.71,1014.04,1182.67
356,1724,3036.43,2400.63,2868.75,3033.15
357,1724,983.31,963.83,892.31,1087.85
358,1724,2168.41,2031.11,1885.50,2338.52
359,1724,1588.23,1397.38,1511.98,1735.36
360,1724,1730.67,1284.43,1531.19,1872.97
361,1724,2317.76,1812.30,1796.29,2490.85
362,1724,1007.51,925.02,1046.46,1195.70
363,1724,2609.88,2427.69,2651.48,2810.76
364,1724,725.57,593.39,698.99,781.45
365,1724,2689.28,2029.08,2334.69,2785.86
366,1724,3539.60,2747.19,3044.83,3393.86
367,1724,690.59,598.19,626.56,766.49
368,1724,1545.78,1346.90,1453.50,1821.39
369,1724,129.73,79.52,64.29,105.78
350,2125,4.55,0.00,0.00,4.55
352,2125,9.11,0.00,0.00,13.66
354,2125,9.10,9.11,0.00,9.11
358,2125,4.55,13.65,9.10,4.55
359,2125,4.55,0.00,4.55,0.00
361,2125,0.00,0.00,0.00,11.39
362,2125,13.66,22.77,27.33,13.66
365,2125,0.00,0.00,0.00,9.10
350,2165,1842.50,2115.00,1840.00,2167.50
