"zcta5","county","cntyname","zipname","pop2k","afact"
"ZIP Census Tabulation Area","county","cntyname","zipname","Total Pop, 2000 census","zcta5 to county alloc factor"
"01001","25013","Hampden MA","AGAWAM",16576,1 
"01002","25011","Franklin MA","CUSHMAN",566,0.015 
"01002","25015","Hampshire MA","CUSHMAN",36228,0.985 
"01005","25027","Worcester MA","BARRE",5077,1 
"01007","25015","Hampshire MA","BELCHERTOWN",13017,1 
"01008","25013","Hampden MA","BLANDFORD",1235,1 
"01010","25013","Hampden MA","BRIMFIELD",3348,1 
"01011","25003","Berkshire MA","CHESTER",449,0.217 
"01011","25013","Hampden MA","CHESTER",1203,0.581 
"01011","25015","Hampshire MA","CHESTER",417,0.202 
"01012","25015","Hampshire MA","CHESTERFIELD",523,1 
"01013","25013","Hampden MA","CHICOPEE",23148,1 
"01020","25013","Hampden MA","CHICOPEE",29174,1 
"01022","25013","Hampden MA","WESTOVER AFB",2331,1 
"01026","25015","Hampshire MA","CUMMINGTON",1031,1 
"01027","25015","Hampshire MA","MOUNT TOM",17489,1 
"01028","25013","Hampden MA","EAST LONGMEADOW",14137,1 
"01029","25003","Berkshire MA","EAST OTIS",572,1 
"01030","25013","Hampden MA","FEEDING HILLS",11568,1 
"01031","25027","Worcester MA","GILBERTVILLE",1263,1 
"01032","25015","Hampshire MA","GOSHEN",212,1 
"01033","25013","Hampden MA","GRANBY",37,0.006 
"01033","25015","Hampshire MA","GRANBY",6102,0.994 
"01034","25013","Hampden MA","TOLLAND",1926,1 
"01035","25015","Hampshire MA","HADLEY",4793,1 
"01036","25013","Hampden MA","HAMPDEN",5134,1 
"01037","25027","Worcester MA","HARDWICK",710,1 
"01038","25015","Hampshire MA","HATFIELD",2558,1 
"01039","25015","Hampshire MA","HAYDENVILLE",1128,1 
"01040","25013","Hampden MA","HOLYOKE",39838,1 
"01050","25013","Hampden MA","HUNTINGTON",105,0.044 
"01050","25015","Hampshire MA","HUNTINGTON",2299,0.956 
"01053","25015","Hampshire MA","LEEDS",1452,1 
"01054","25011","Franklin MA","LEVERETT",1444,1 
"01056","25013","Hampden MA","LUDLOW",21172,1 
"01057","25013","Hampden MA","MONSON",8257,1 
"01060","25015","Hampshire MA","FLORENCE",16274,1 
"01062","25015","Hampshire MA","01062",11225,1 
"01068","25027","Worcester MA","OAKHAM",1716,1 
"01069","25013","Hampden MA","PALMER",9884,1 
"01070","25015","Hampshire MA","PLAINFIELD",566,1 
"01071","25013","Hampden MA","RUSSELL",1654,1 
"01072","25011","Franklin MA","SHUTESBURY",1458,1 
"01073","25015","Hampshire MA","SOUTHAMPTON",5387,1 
"01075","25015","Hampshire MA","SOUTH HADLEY",17226,1 
"01077","25013","Hampden MA","SOUTHWICK",8835,1 
"01080","25013","Hampden MA","THREE RIVERS",2627,1 
"01081","25013","Hampden MA","WALES",1641,1 
"01082","25015","Hampshire MA","WARE",9707,0.975 
"01082","25027","Worcester MA","WARE",254,0.025 
"01083","25027","Worcester MA","WARREN",2285,1 
"01084","25015","Hampshire MA","WEST CHESTERFIEL",147,1 
"01085","25013","Hampden MA","MONTGOMERY",40729,1 
"01088","25015","Hampshire MA","W HATFIELD",612,1 
"01089","25013","Hampden MA","WEST SPRINGFIELD",27899,1 
"01092","25027","Worcester MA","WEST WARREN",1087,1 
"01095","25013","Hampden MA","WILBRAHAM",13650,1 
"01096","25015","Hampshire MA","WILLIAMSBURG",2623,1 
"01098","25015","Hampshire MA","WORTHINGTON",1235,1 
"01103","25013","Hampden MA","SPRINGFIELD",2661,1 
"01104","25013","Hampden MA","SPRINGFIELD",22383,1 
"01105","25013","Hampden MA","SPRINGFIELD",13138,1 
"01106","25013","Hampden MA","LONGMEADOW",15882,1 
"01107","25013","Hampden MA","SPRINGFIELD",11333,1 
"01108","25013","Hampden MA","SPRINGFIELD",25828,1 
"01109","25013","Hampden MA","SPRINGFIELD",30655,1 
"01118","25013","Hampden MA","SPRINGFIELD",14271,1 
"01119","25013","Hampden MA","SPRINGFIELD",13329,1 
"01128","25013","Hampden MA","SPRINGFIELD",2993,1 
"01129","25013","Hampden MA","SPRINGFIELD",6931,1 
"01151","25013","Hampden MA","INDIAN ORCHARD",8311,1 
"01201","25003","Berkshire MA","PITTSFIELD",47623,1 
"01220","25003","Berkshire MA","ADAMS",9442,1 
"01222","25003","Berkshire MA","ASHLEY FALLS",853,1 
"01223","25003","Berkshire MA","BECKET",1715,1 
"01225","25003","Berkshire MA","CHESHIRE",2768,1 
"01226","25003","Berkshire MA","DALTON",7865,1 
"01230","25003","Berkshire MA","GREAT BARRINGTON",9157,1 
"01235","25003","Berkshire MA","PERU",2536,1 
"01236","25003","Berkshire MA","HOUSATONIC",2135,1 
"01237","25003","Berkshire MA","HANCOCK",2450,1 
"01238","25003","Berkshire MA","LEE",6416,1 
"01240","25003","Berkshire MA","LENOX",5170,1 
"01242","25003","Berkshire MA","LENOX DALE",114,1 
"01245","25003","Berkshire MA","WEST OTIS",956,1 
"01247","25003","Berkshire MA","CLARKSBURG",17043,1 
"01253","25003","Berkshire MA","OTIS",692,1 
"01254","25003","Berkshire MA","RICHMOND",1030,1 
"01255","25003","Berkshire MA","SANDISFIELD",752,1 
"01256","25003","Berkshire MA","SAVOY",705,1 
"01257","25003","Berkshire MA","SHEFFIELD",2290,1 
"01258","25003","Berkshire MA","SOUTH EGREMONT",130,1 
"01259","25003","Berkshire MA","SOUTHFIELD",559,1 
"01262","25003","Berkshire MA","STOCKBRIDGE",817,1 
"01264","25003","Berkshire MA","TYRINGHAM",234,1 
"01266","25003","Berkshire MA","WEST STOCKBRIDGE",1742,1 
"01267","25003","Berkshire MA","WILLIAMSTOWN",8738,1 
"01301","25011","Franklin MA","LEYDEN",18482,1 
