ZIPCODE,DRUGCODE,Q1,Q2,Q3,Q4
350,1100,8129.24,8887.22,8291.39,9474.92
351,1100,5321.25,5464.43,5028.60,5593.30
352,1100,11019,11900.08,10974.29,12881.77
354,1100,6626.82,6906.59,7085.62,7306.28
355,1100,2222.17,2409.21,2202.82,2594.19
356,1100,5288.34,5685.25,5337.66,5928
357,1100,1874.35,2071.82,1823.69,2002.04
358,1100,2665.18,2836.34,2887.34,2890.37
359,1100,2393.28,2356.80,2351.11,2494.44
360,1100,3261.37,3290.35,3111.62,3668.50
361,1100,3435.69,3548.86,3544.73,4255.72
362,1100,1270.36,1289.58,1191.12,1389.03
363,1100,2776.22,3214.50,2840.88,3257.77
364,1100,956,1085.98,979.59,936.49
365,1100,5667.95,6021.04,5872.89,6031.87
366,1100,4279.97,4457.45,4697.69,4672.67
367,1100,806.87,939.69,892.38,1001.23
368,1100,3455.65,3258.16,2980.93,3562.58
369,1100,84.94,87.33,101.54,97.89
995,1100,2747.46,2814.79,2835.17,2937.25
996,1100,630.05,687.37,721.84,633.31
997,1100,639.22,641.85,681.73,701.81
998,1100,285.31,347.42,290.46,299.11
999,1100,88.72,119.11,118.63,125.91
967,1100,1.27,0,1.27,0
850,1100,9202.74,9793.27,9595.08,10312.68
851,1100,791.84,983.47,973.37,1125.32
852,1100,25051.12,25739.85,23394.68,19838.27
853,1100,5097.38,5764.41,5934.52,6220.52
855,1100,247.97,301.73,308.79,368.01
856,1100,813,896.75,956.44,939.19
857,1100,6294.09,7218.74,7245.37,7583.74
859,1100,247.63,272.89,286.33,279.18
860,1100,648.03,696.25,734.19,773.82
863,1100,854.76,1064.57,1045.62,1073.53
864,1100,697.53,680.98,706,706.82
865,1100,28.06,19.41,15.64,25.85
716,1100,1575.10,2071.48,1678.09,1713.91
717,1100,549.33,584.06,543.52,511.34
718,1100,718.86,736.31,671.1,673.46
719,1100,1573.15,1619.65,1689.65,1656.24
720,1100,4306.92,4771.35,4325.56,4647.75
721,1100,3804.70,4047.77,3720.90,3974.58
722,1100,4238.19,4354.06,4405.76,4461.12
723,1100,1013.87,1105.63,990.55,969.01
724,1100,2039.06,2248.41,1920.84,2094.52
725,1100,546.04,834.17,555.36,546.88
726,1100,1023.12,1220.88,1056.60,1011.52
727,1100,5637.69,5989.14,5965.88,5988.09
728,1100,672.76,683.88,705.76,766.72
729,1100,1162.20,1274.37,1080.50,1111.02
900,1100,10622.88,11151.97,9834.93,11595.83
902,1100,6112.75,6653.71,5697.09,6952.36
903,1100,160.49,151.26,136.7,148.72
904,1100,1927.25,2082.67,1887.72,2250.37
905,1100,944.98,1103.01,973,1203.64
906,1100,1201.70,1366.28,1149.60,1486.38
907,1100,1793.58,1874.46,1565.35,1977.32
908,1100,1539.62,1720.31,1409.81,1753.25
910,1100,1105.62,1147.92,891.88,1158.98
911,1100,1207.90,1283.46,1087.24,1454.89
912,1100,521.58,528.65,469.95,529.59
913,1100,8761.67,9601.57,7951.26,9399.58
914,1100,1885.20,2069.19,1848.48,2371.39
915,1100,1135.48,1169.04,1076.36,1043.35
916,1100,709.79,758.6,718.45,811.32
917,1100,3666.26,4119.75,3248.12,4012.81
918,1100,160.2,162.97,147.22,152.41
919,1100,1309.10,1400.02,1208.03,1511.02
920,1100,9880.25,10051.96,8797.08,10370.97
921,1100,8385.49,8933.58,7864.58,9248.40
922,1100,1917.72,2159.85,1616.47,2037.97
923,1100,2718.06,3071.80,2800.59,3212.64
924,1100,343.85,412.04,399.29,423.83
925,1100,3238.89,3685.62,3305.43,3778.41
926,1100,11864.57,12306.75,10206.89,12986.44
927,1100,2192.58,2298.55,2281.75,2542.19
928,1100,4248.68,4631.74,4141.06,4977.02
930,1100,3654.81,3945.31,3319.35,4068.92
931,1100,2560.55,2659.63,2398.41,2764.20
932,1100,1358.32,1375.07,1358.66,1312.25
933,1100,1195.70,1295.51,1209.66,1384.95
934,1100,1939.07,2084.03,1993.78,2209.74
935,1100,1687.67,1657.04,1491.08,1747.55
936,1100,1140.10,1251.40,1232.64,1269.22
937,1100,1598.20,1857.43,1912.03,1846.09
939,1100,1159.47,1132.14,1192.77,1179.20
940,1100,2606.47,3237.90,3411.51,3376.39
941,1100,4366.63,5730.67,5928.81,6018.36
943,1100,587.72,696.69,636.62,668.7
944,1100,603.55,620.86,659.18,641.49
945,1100,9116.21,9817.46,9930.13,10175.89
946,1100,1367.65,1428.59,1688.81,1801.33
947,1100,708.34,903.3,811.93,984.34
948,1100,259.51,268.66,363.3,350.91
949,1100,2600.77,2992.77,3027.83,2914.85
950,1100,3835.83,4287.23,4092.28,4579.26
951,1100,2064.72,2328.49,2421.11,2374.05
952,1100,1303.91,1332.27,1408.84,1494.94
953,1100,3701.69,3911.28,3862.59,4063.39
954,1100,2360.37,2430.06,2620.63,2632.54
955,1100,800.14,813.71,871.15,939.38
956,1100,7623.67,7423.33,7788.15,8079.46
957,1100,1244.33,1465.94,1530,1415.97
958,1100,3207.87,3375.86,3350.41,3569.62
959,1100,3180.22,3428.54,3541.44,3871.14
960,1100,1015.68,1135.15,1126.80,1154.88
961,1100,339.68,409.09,442.06,432.1
800,1100,5340.54,6214.70,6646.88,6729.82
801,1100,5601.60,6521,6858.92,6960.52
802,1100,6500.27,7759.60,8117.08,8487.30
803,1100,1855.74,1966.02,1999.22,2194.26
804,1100,1462.55,1562.83,1635.71,1583.30
805,1100,2974.75,3703.67,3717.72,4024.88
806,1100,870.59,1019.77,971.96,1125.40
807,1100,171.35,155.33,188.65,157.28
808,1100,479.54,567.31,519.29,588.85
809,1100,2973.90,3499.92,3876.17,4043.85
810,1100,478.65,536.55,606.98,585.33
811,1100,133.53,121.86,112.02,110.8
812,1100,339.52,340.14,353.6,364.4
813,1100,366.3,380.3,433.2,372.28
814,1100,253.3,285.76,268.49,294.99
815,1100,797.22,795.89,881.1,873.5
816,1100,1205.51,1075.65,1251.01,1230.56
060,1100,4757.53,5089.72,4986.71,5365.53
061,1100,1690.18,1812.56,1837.49,2021.43
062,1100,1011.40,1021.31,1058.94,1085.93
063,1100,2845.36,2993.29,3170.50,2950.28
064,1100,6038.94,6582.20,6644.24,7122.95
065,1100,1839.34,1957.13,1991.16,2143.18
066,1100,779.7,819.81,723.7,811.59
067,1100,1923.04,1954.56,1892.43,2106.31
068,1100,5312.20,5771.58,5929.80,6162.44
069,1100,708.1,751.48,781.15,911.9
197,1100,6615.10,6398.29,6554.27,7103.15
198,1100,4436.24,4685.50,4933.90,5037.50
199,1100,4611.07,4760.72,4644.95,4526.82
200,1100,4993.48,5721.29,5524.86,5892.27
203,1100,190.77,209.79,200.48,286.18
204,1100,100.74,132.54,115.02,143.89
320,1100,3844.11,4272.62,4055.61,4633.55
321,1100,3445.06,3946.38,3611.70,3714.10
322,1100,9474.97,10105.58,10014.62,10593.87
323,1100,5810.50,6103.87,5761.26,6484.77
324,1100,3359.37,3773.57,3396.86,3745.16
325,1100,9425.83,10479.38,10339.31,10578.64
326,1100,3184.30,3171.79,3144.39,3370.43
327,1100,9298.31,9998.89,9362.89,9881.43
328,1100,7823.96,8400.26,8054.65,7907.55
329,1100,6568.24,6660.80,6593.69,7175.98
330,1100,27811.60,25080.33,27179.22,14986.97
331,1100,7179.78,7605.94,6951.39,8223.27
333,1100,5793.30,6100.98,5378.82,6161.47
334,1100,11228.23,11908.40,11099.61,12691.38
335,1100,3836.21,4256.93,4411.19,4653.83
336,1100,6604.22,7374.93,6795.66,7299.15
337,1100,5503.06,6304.18,5789.29,6494.02
338,1100,3843.13,4104.70,3827.55,4045.62
339,1100,6474.52,6805,6452.04,7382.09
341,1100,3149.27,3353.39,3287.99,3656.95
342,1100,5623,6008.10,5754.98,6356.98
344,1100,1886.15,2055.88,1933.48,2084.95
346,1100,4127.16,4759.66,4248.65,4670.36
347,1100,3504.01,3804.40,3602.54,3949.04
349,1100,3143.13,3310.92,3296.57,3523.55
300,1100,21404.28,22206.23,19095.55,23395.20
301,1100,11695.80,12445.11,10976.71,13135.77
302,1100,7098.76,7657,6630.73,7708.59
303,1100,10636.20,11385.09,9528.72,11879.22
304,1100,3168.26,4366.67,3211.56,3469.47
305,1100,5935.01,6815.83,5861.37,6945.08
306,1100,4439.46,5029.60,3880.32,4876.24
307,1100,4135.09,4427.27,3569.87,4572.25
308,1100,1964.73,2025.83,1578.91,2193.14
