                                          ARCOS 3 - REPORT 1                                                   Run Date: 12/04/2014
                    RETAIL DRUG DISTRIBUTION BY ZIP CODE WITHIN STATE BY GRAMS WT
                              REPORTING PERIOD: 01/01/2011 TO 12/31/2011

DRUG CODE:                             1100 DRUG NAME:            AMPHETAMINE
STATE:             ALABAMA

ZIP CODE           QUARTER 1                   QUARTER 2     QUARTER 3          QUARTER 4    TOTAL GRAMS
             350                  9,670.72         10,825.85          10,496.86    10,769.05         41,762.48
             351                  5,746.29          6,167.01           5,552.32     5,393.45         22,859.07
             352                 12,564.85         13,737.82          12,398.36    12,601.12         51,302.15
             354                  7,432.86          7,224.15           7,117.94     6,392.47         28,167.42
             355                  2,603.40          2,807.76           2,697.38     2,967.07         11,075.61
             356                  5,972.27          6,412.53           6,161.27     6,300.36         24,846.43
             357                  2,074.18          2,133.04           2,143.08     2,114.94          8,465.24
             358                  2,993.50          3,257.18           3,022.15     3,168.13         12,440.96
             359                  2,458.44          2,741.06           2,646.44     2,931.30         10,777.24
             360                  3,880.96          4,173.39           4,120.21     4,264.36         16,438.92
             361                  3,906.55          4,373.16           4,236.70     3,910.10         16,426.51
             362                  1,417.25          1,555.57           1,580.20     1,528.47          6,081.49
             363                  3,408.16          3,526.40           3,632.16     3,366.43         13,933.15
             364                  1,023.49          1,088.92           1,082.26     1,016.67          4,211.34
             365                  6,255.60          6,956.34           6,401.88     6,079.69         25,693.51
             366                  5,070.45          5,018.95           4,545.65     4,588.12         19,223.17
             367                    973.75          1,085.19           1,025.90     1,201.33          4,286.17
             368                  3,801.32          3,746.39           3,695.47     3,289.13         14,532.31
             369                    112.69            110.94             116.52       162.78            502.93

TOTAL                            81,366.73          86,941.65             82,672.75          82,044.97           333,026.10
STATE:             ALASKA
ZIP CODE           QUARTER 1                   QUARTER 2          QUARTER 3              QUARTER 4         TOTAL GRAMS

             995                    2,803.66         3,109.10                 3,213.15        3,122.46            12,248.37
             996                      642.71           747.69                   698.63          694.01             2,783.04
             997                      829.73            787.6                    756.8          768.06             3,142.19
             998                      238.96           350.99                   343.85          377.08             1,310.88
             999                      127.13           101.01                   156.67           81.85               466.66
TOTAL                               4,642.19         5,096.39                 5,169.10        5,043.46            19,951.14
STATE:             AMERICAN SAMOA

ZIP CODE           QUARTER 1                   QUARTER 2          QUARTER 3              QUARTER 4         TOTAL GRAMS
             967                          0                3.17                    1.9               3.8                 8.87
TOTAL                                     0                3.17                    1.9               3.8                 8.87

STATE:             ARIZONA
ZIP CODE           QUARTER 1                   QUARTER 2     QUARTER 3          QUARTER 4    TOTAL GRAMS
             850                 10,213.19         10,571.30           9,049.50     9,661.84         39,495.83
             851                  1,251.32          1,363.32           1,336.53     1,408.26          5,359.43
             852                 18,245.54         19,491.85          17,587.94    19,089.10         74,414.43
             853                  6,391.87          6,798.95           6,155.04     6,757.84         26,103.70
             855                    380.67            430.17             369.03       382.92          1,562.79
             856                    984.61          1,072.54           1,044.15     1,008.42          4,109.72
             857                  7,835.18          8,177.37           7,498.37     8,070.39         31,581.31
             859                    262.26            320.67             357.92       270.21          1,211.06
             860                    738.49            813.86             826.93       952.94          3,332.22
             863                  1,052.71          1,124.82           1,057.48     1,098.40          4,333.41
             864                    626.72            814.03             672.93       701.23          2,814.91
             865                     34.14             60.14              39.95        16.73            150.96
TOTAL                            48,016.70         51,039.02          45,995.77    49,418.28        194,469.77
                                                ARCOS 3 - REPORT 1                                             Run Date: 12/04/2014
                          RETAIL DRUG DISTRIBUTION BY ZIP CODE WITHIN STATE BY GRAMS WT
                                    REPORTING PERIOD: 01/01/2011 TO 12/31/2011

STATE:                   ARKANSAS
ZIP CODE                 QUARTER 1                 QUARTER 2        QUARTER 3              QUARTER 4       TOTAL GRAMS

                   716                  1,762.79         1,749.20               1,755.93        1,770.48           7,038.40
                   717                    565.41           562.08                 639.19          681.91           2,448.59
                   718                    577.42           770.36                 700.12          623.45           2,671.35
                   719                  1,708.76         1,953.10               1,993.42        2,009.24           7,664.52
                   720                  4,799.57         4,926.09               4,964.70        5,084.46          19,774.82
                   721                  4,046.13         4,282.56               4,252.32        4,434.81          17,015.82
                   722                  4,499.99         4,885.28               4,960.92        5,320.07          19,666.26
                   723                    964.59         1,012.22                 994.83        1,125.13           4,096.77
                   724                  2,136.56         2,087.19               2,184.09        2,128.71           8,536.55
                   725                    549.86            601.5                 631.46          581.87           2,364.69


DRUG CODE:1100DRUG NAME:AMPHETAMINE
STATE:ARKANSAS

ZIP CODE                 QUARTER 1                 QUARTER 2     QUARTER 3          QUARTER 4    TOTAL GRAMS
                   726                  1,007.39        1,144.82           1,077.17     1,174.53          4,403.91
                   727                  6,273.30        6,667.27           6,554.80     6,393.45         25,888.82
                   728                    742.88           761.6             772.75       721.22          2,998.45
                   729                  1,147.28        1,284.87           1,187.78     1,216.94          4,836.87
TOTAL                                  30,781.93       32,688.14          32,669.48    33,266.27        129,405.82
STATE:                   CALIFORNIA

ZIP CODE                 QUARTER 1                 QUARTER 2     QUARTER 3          QUARTER 4    TOTAL GRAMS
                   900                 11,893.18       13,223.92          11,902.87    11,867.52         48,887.49
                   902                  7,141.01        7,808.67           7,449.09     7,283.57         29,682.34
                   903                    172.05          179.29             199.72       162.06            713.12
                   904                  2,545.54        2,527.18           2,479.49     3,201.24         10,753.45
                   905                  1,111.23        1,235.69           1,203.58     1,358.28          4,908.78
                   906                  1,556.40        1,615.69           1,413.53     1,535.87          6,121.49
                   907                  1,960.44        2,318.78           1,953.32     2,087.74          8,320.28
                   908                  1,781.86        1,895.48           1,757.56     1,852.87          7,287.77
                   910                  1,021.03        1,209.04           1,098.80     1,119.61          4,448.48
                   911                  1,344.77        1,619.36           1,297.27     1,572.43          5,833.83
                   912                    529.78          604.59             624.33       693.08          2,451.78
                   913                  9,442.45       10,407.55           9,737.78     9,955.90         39,543.68
                   914                  2,280.34        2,439.34           2,313.52     2,344.84          9,378.04
                   915                  1,158.99        1,266.42           1,258.03     1,143.44          4,826.88
                   916                    756.42          979.35             766.36       965.97          3,468.10
                   917                  4,170.79        4,699.57           4,199.63     4,657.45         17,727.44
                   918                     173.4          222.69             165.26       165.72            727.07
                   919                  1,478.22        1,722.15           1,690.84     1,672.12          6,563.33
                   920                 11,024.01       12,065.16          11,403.60    11,407.07         45,899.84
                   921                  9,528.41       11,264.34           9,625.22    10,073.41         40,491.38
                   922                  2,114.31        2,554.08           2,140.45     2,148.87          8,957.71
                   923                  3,085.96        3,585.08           3,249.51     3,325.10         13,245.65
                   924                    323.82          368.89             401.27       416.29          1,510.27
                   925                  3,657.21        4,143.25           3,900.41     4,387.57         16,088.44
                   926                 12,666.91       15,076.91          12,799.82    13,446.73         53,990.37
                   927                  2,531.41        2,962.01           2,623.51     2,988.27         11,105.20
