Run Date: 02/03/2017                                  ARCOS 3 - REPORT 1             REPORTING PERIOD: 01/01/2016 TO 12/31/2016
                                RETAIL DRUG DISTRIBUTION BY ZIP CODE WITHIN STATE BY GRAMS WT
   DRUG CODE:1100DRUG NAME:AMPHETAMINE
   STATE:       ALABAMA

   ZIP CODE         QUARTER 1                 QUARTER 2       QUARTER 3           QUARTER 4      TOTAL GRAMS
              350                 16,034.16         17,001.13           17,145.20      17,316.18          67,496.67
              351                  8,320.60          8,680.25            8,732.47       8,811.46          34,544.78
              352                 18,259.26         18,260.23           18,954.25      18,976.99          74,450.73
              354                  8,950.98          8,671.19            8,812.31       8,678.92          35,113.40
              355                  3,658.87          3,569.32            3,521.05       3,454.39          14,203.63
              356                  9,395.70          9,066.40            9,285.71       9,142.92          36,890.73
              357                  3,533.20          3,732.59            3,908.27       3,930.91          15,104.97
              358                  4,576.76          4,872.61            5,201.27       5,170.70          19,821.34
              359                  4,415.85          4,464.63               4,680       4,715.34          18,275.82
              360                  6,553.46          6,354.41            6,657.92       6,740.83          26,306.62
              361                  5,712.76          5,722.80            5,741.89       5,759.22          22,936.67
              362                  2,256.28          2,259.66            2,329.36       2,404.22           9,249.52
              363                  4,539.24          4,874.87            5,098.30       4,909.51          19,421.92
              364                  1,267.86          1,265.92            1,313.17       1,353.52           5,200.47
              365                 10,632.38         11,347.94           11,483.36      11,407.55          44,871.23
              366                  8,189.59          8,775.67            8,456.50       7,691.25          33,113.01
              367                  1,462.66          1,406.82            1,438.83       1,502.95           5,811.26
              368                  5,892.66          5,945.01            6,082.76       6,165.69          24,086.12
              369                      124             134.59              126.98         110.87             496.44

   TOTAL                         123,776.27        126,406.04               128,969.60        128,243.42           507,395.33
   STATE:           ALASKA
   ZIP CODE         QUARTER 1                 QUARTER 2         QUARTER 3                QUARTER 4         TOTAL GRAMS

              995                 4,567.30           4,858.50                 4,763.02          4,747.28            18,936.10
              996                 1,208.11           1,394.64                 1,384.60          1,313.36             5,300.71
              997                 1,183.30           1,255.83                 1,241.63          1,077.46             4,758.22
              998                   378.46             438.45                   431.46              403              1,651.37
              999                    161.8             178.87                   151.49            188.96               681.12
   TOTAL                          7,498.97           8,126.29                 7,972.20          7,730.06            31,327.52
   STATE:           AMERICAN SAMOA

   ZIP CODE         QUARTER 1                 QUARTER 2         QUARTER 3                QUARTER 4         TOTAL GRAMS
              967                      2.53                 0                      1.5               2.5                 6.53
   TOTAL                               2.53                 0                      1.5               2.5                 6.53

   STATE:           ARIZONA
   ZIP CODE         QUARTER 1                 QUARTER 2       QUARTER 3                  QUARTER 4      TOTAL GRAMS
              850                 15,036.73         15,779.70                15,873.93        16,581.34           63,271.70
              851                  2,490.73          2,549.33                 2,640.82         2,771.85           10,452.73
              852                 29,506.29         30,174.16                30,808.61        31,588.50          122,077.56
