county, year, labforce, employed
01001,2000,21720,20846
01003,2000,69533,66971
01005,2000,11373,10748
01007,2000,8565,8111
01009,2000,25106,24231
01011,2000,3971,3635
01013,2000,9156,8445
01015,2000,52896,50223
01017,2000,17373,16610
01019,2000,11304,10797
01021,2000,19475,18641
01023,2000,6184,5781
01025,2000,11597,10750
01027,2000,6565,6163
01029,2000,6958,6676
01031,2000,19902,18748
01033,2000,25950,24511
01035,2000,5483,5127
01037,2000,5295,5009
01039,2000,17316,16124
01041,2000,6115,5766
01043,2000,38647,37053
01045,2000,20785,19702
01047,2000,17823,16389
01049,2000,32308,31009
01051,2000,30995,29767
01053,2000,16092,15257
01055,2000,48177,45380
01057,2000,8276,7792
01059,2000,14629,13674
01061,2000,12180,11562
01063,2000,3510,3271
01065,2000,6976,6557
01067,2000,7634,7259
01069,2000,45170,43186
01071,2000,27899,26454
01073,2000,329015,315985
01075,2000,7446,6929
01077,2000,43446,41285
01079,2000,16573,15749
01081,2000,58023,55711
01083,2000,32829,31583
01085,2000,5052,4704
01087,2000,9080,8556
01089,2000,148675,143415
01091,2000,9012,8543
01093,2000,14205,13260
01095,2000,40543,38605
01097,2000,184951,175846
01099,2000,10273,9612
01101,2000,105729,101315
01103,2000,56248,53884
01105,2000,4103,3725
01107,2000,8597,7952
01109,2000,14060,13285
01111,2000,9961,9478
01113,2000,21998,20984
01115,2000,31353,30179
01117,2000,82280,80035
01119,2000,5381,4893
01121,2000,35593,33753
01123,2000,19358,18412
01125,2000,81655,78451
01127,2000,31502,29674
01129,2000,7728,7200
01131,2000,3939,3595
01133,2000,11687,10776
02013,2000,940,858
02016,2000,2735,2592
02020,2000,140602,133453
02050,2000,6401,5824
02060,2000,925,866
02068,2000,1342,1244
02070,2000,1963,1818
02090,2000,41013,38486
02100,2000,1397,1284
02110,2000,18021,17177
02122,2000,24598,22567
02130,2000,8294,7772
02150,2000,6544,5996
02158,2000,2237,1894
02164,2000,1036,982
02170,2000,28873,26751
02180,2000,3703,3343
02185,2000,3404,3116
02188,2000,2946,2678
02201,2000,2667,2286
02220,2000,4454,4239
02232,2000,1831,1649
02240,2000,2270,1988
02261,2000,5224,4824
02280,2000,3078,2777
02282,2000,371,345
02290,2000,2644,2338
04001,2000,19028,17318
04003,2000,48643,46462
04005,2000,62612,59882
04007,2000,20334,19267
04009,2000,12270,11604
04011,2000,3921,3756
04012,2000,7623,7140
04013,2000,1598108,1546411
04015,2000,68796,65744
04017,2000,34267,31791
04019,2000,409776,394635
04021,2000,69618,66450
04023,2000,14747,13538
04025,2000,75804,72766
04027,2000,64337,53817
05001,2000,10144,9678
05003,2000,10491,9870
05005,2000,16266,15586
05007,2000,76753,74600
05009,2000,16217,15537
05011,2000,5096,4764
05013,2000,2553,2412
05015,2000,13015,12502
05017,2000,5428,5028
05019,2000,11208,10725
05021,2000,8064,7626
05023,2000,10719,10232
05025,2000,3896,3702
05027,2000,11261,10680
05029,2000,9336,8764
05031,2000,42719,41012
05033,2000,24738,23848
05035,2000,21929,21017
05037,2000,8671,8262
05039,2000,3858,3643
05041,2000,6312,5795
05043,2000,8732,8211
05045,2000,45405,43748
05047,2000,8061,7787
05049,2000,4962,4768
05051,2000,38407,36755
05053,2000,8083,7761
05055,2000,18115,17239
05057,2000,11062,10552
05059,2000,14271,13663
05061,2000,6624,6340
05063,2000,16692,15880
05065,2000,5217,4971
05067,2000,7695,7112
05069,2000,35900,33810
05071,2000,10184,9755
05073,2000,3450,3244
05075,2000,7857,7437
05077,2000,3892,3600
05079,2000,5032,4722
05081,2000,6384,6089
05083,2000,9854,9447
05085,2000,26393,25512
05087,2000,6911,6694
05089,2000,6645,6389
05091,2000,18185,17368
05093,2000,22654,20888
05095,2000,4070,3861
05097,2000,4073,3905
05099,2000,4603,4383
05101,2000,3754,3591
05103,2000,12385,11652
05105,2000,4803,4564
05107,2000,9693,9091
05109,2000,5429,5202
05111,2000,11432,10886
05113,2000,8976,8607
05115,2000,26758,25616
05117,2000,4399,4205
05119,2000,184110,177186
05121,2000,8280,7841
05123,2000,10906,10144
05125,2000,42665,41261
05127,2000,4927,4754
05129,2000,3304,3140
05131,2000,56415,54505
05133,2000,7230,6953
05135,2000,6556,6211
05137,2000,4659,4453
05139,2000,20172,19213
05141,2000,6619,6264
05143,2000,82117,79670
05145,2000,30946,29464
05147,2000,3771,3535
05149,2000,9921,9522
06001,2000,769669,741850
06003,2000,555,520
06005,2000,15284,14489
06007,2000,93228,87431
06009,2000,18161,17147
06011,2000,9274,8200
06013,2000,501337,483535
06015,2000,10247,9486
06017,2000,82237,78825
06019,2000,388673,348153
06021,2000,11298,10342
06023,2000,60172,56679
06025,2000,56129,46328
